I
1150 Version - data cycle 1911, build 20250921, metadata MSAXP1150. FMS
10  RW10 K6  39N M 180 000  0 026 000  0
 3   ICT K3  3AU M 180 000  0 040 000  0
10  RW36 K3  3AU M 180 000  0 036 000  0
 3   PUT K6  3B0 M 090 000  0 031 000  0 340 000  0 242 000  0
10  RW02 K6  3B0 M 180 000  0 033 000  0
10  RW14 K6  3B1 M 180 000  0 050 000  0
10  RW30 K6  3B4 M 180 000  0 031 000  0
 3   OBK K5  3CK M 040 000  0 025 000  0 100 000  0 342 000  0
10  RW08 K5  3CK M 180 000  0 026 000  0
10  RW26 K5  3CK M 180 000  0 026 000  0
10  RW18 K5  3CM M 180 000  0 031 000  0
10  RW35 K5  3CU M 180 000  0 031 000  0
10  RW14 K5  3D2 M 180 000  0 024 000  0
10  RW32 K5  3D2 M 180 000  0 024 000  0
11 BOTHY K3  3DW M 180 000  0 046 000  0
11 POKAE K3  3DW M 180 000  0 046 000  0
 3   ANX K3  3EX M 180 000  0 031 000  0
10  RW18 K4  3F3 M 180 000  0 021 000  0
 3   EIC K4  3F4 M 180 000  0 031 000  0
10  RW09 K4  3F4 M 180 000  0 031 000  0
10  RW27 K4  3F4 M 180 000  0 031 000  0
10  RW36 K4  3F6 M 180 000  0 041 000  0
 3   UIM K4  3F9 M 180 000  0 026 000  0
 3   BSV K5  3G3 M 180 000  0 031 000  0
10  RW02 K5  3G3 M 180 000  0 031 000  0
10  RW20 K5  3G3 M 180 000  0 031 000  0
 3   MFD K5  3G4 M 180 000  0 030 000  0
 3   ACO K5  3G6 M 180 000  0 036 000  0
10  RW09 K5  3GM M 180 000  0 029 000  0
10  RW27 K5  3GM M 180 000  0 029 000  0
 3   TTH K5  3I3 M 180 000  0 026 000  0
 3   DQN K5  3I7 M 180 000  0 031 000  0
 3   AHN K7  3J7 M 180 000  0 037 000  0
10  RW07 K7  3J7 M 180 000  0 025 000  0
 2    VV K7  3J7 M 180 000  0 023 000  0
11 EGETE K3  3JC M 180 000  0 034 000  0
10  RW09 K5  3LF M 180 000  0 023 000  0
10  RW18 K5  3LF M 180 000  0 023 000  0
10  RW27 K5  3LF M 180 000  0 023 000  0
10  RW36 K5  3LF M 180 000  0 023 000  0
10  RW01 K7  3M7 M 180 000  0 031 000  0
